ncaa_name,espn_name,kaggle_name,conference,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3
Duquesne,Duquesne,Duquesne,A-10,#041E42,#BA0C2F,#000000,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Duquesne_Dukes.svg/115px-Duquesne_Dukes.svg.png,
East Carolina,ECU,East Carolina,AAC,#592A8A,#FDC82F,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/East_Carolina_Pirates_logo.svg/226px-East_Carolina_Pirates_logo.svg.png,
Eastern Ill.,E Illinois,E Illinois,OVC,#003399,#B2B2B2,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Eastern_Illinois_Panthers_logo.svg/280px-Eastern_Illinois_Panthers_logo.svg.png,
Eastern Ky.,E Kentucky,E Kentucky,OVC,#4C151E,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Eastern_Kentucky_Colonels_logo.svg/320px-Eastern_Kentucky_Colonels_logo.svg.png,
Eastern Mich.,E Michigan,E Michigan,MAC,#006633,#000000,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Eastern_Michigan_Eagles_logo.svg/211px-Eastern_Michigan_Eagles_logo.svg.png,
Eastern Wash.,E Washington,E Washington,Big Sky,#A10022,#FFFFFF,#6D6E71,,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Eastern_Washington_Eagles_logo.svg/257px-Eastern_Washington_Eagles_logo.svg.png,
Elon,Elon,Elon,CAA,#73000A,#B59A57,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Elon_Phoenix_logo.svg/310px-Elon_Phoenix_logo.svg.png,
ETSU,ETSU,ETSU,SoCon,#041E42,#FFC72C,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/East_Tennessee_State_Buccaneers_logo.svg/241px-East_Tennessee_State_Buccaneers_logo.svg.png,
Evansville,Evansville,Evansville,MVC,#52237F,#F36F21,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Evansville_Purple_Aces_logo.svg/320px-Evansville_Purple_Aces_logo.svg.png,
Fairfield,Fairfield,Fairfield,MAAC,#C8102E,#A2AAAD,#000000,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Fairfield_Stags_logo.svg/272px-Fairfield_Stags_logo.svg.png,
